step_time_ms,method
0.15919999987090705,Unconstrained
0.10019999990618089,Unconstrained
0.10180000003856549,Unconstrained
0.10059999999612046,Unconstrained
0.09969999996428669,Unconstrained
0.09920000002239249,Unconstrained
0.0976999999693362,Unconstrained
0.09779999982129084,Unconstrained
0.10169999995923718,Unconstrained
0.10330000009162177,Unconstrained
0.09810000005927577,Unconstrained
0.09799999997994746,Unconstrained
0.10420000012345554,Unconstrained
0.09849999992184166,Unconstrained
0.09799999997994746,Unconstrained
0.10020000013355457,Unconstrained
0.09869999985312461,Unconstrained
0.09870000008049828,Unconstrained
0.10720000000219443,Unconstrained
0.09799999997994746,Unconstrained
0.12179999998807034,Unconstrained
0.09879999993245292,Unconstrained
0.10009999982685258,Unconstrained
0.105000000075961,Unconstrained
0.09839999984251335,Unconstrained
0.11049999989154458,Unconstrained
0.09820000013860408,Unconstrained
0.09959999988495838,Unconstrained
0.10049999991679215,Unconstrained
0.10000000020227162,Unconstrained
0.09999999997489795,Unconstrained
0.09979999981624132,Unconstrained
0.12919999994664977,Unconstrained
0.09909999994306418,Unconstrained
0.10569999994913815,Unconstrained
0.09939999995367543,Unconstrained
0.09860000000116997,Unconstrained
0.09899999986373587,Unconstrained
0.09840000006988703,Unconstrained
0.10220000012850505,Unconstrained
0.099800000043615,Unconstrained
0.09870000008049828,Unconstrained
0.09860000000116997,Unconstrained
0.09900000009110954,Unconstrained
0.09960000011233205,Unconstrained
0.09840000006988703,Unconstrained
0.09879999993245292,Unconstrained
0.0988000001598266,Unconstrained
0.0981999999112304,Unconstrained
0.09860000000116997,Unconstrained
0.09850000014921534,Unconstrained
0.09879999993245292,Unconstrained
0.10679999991225486,Unconstrained
0.0980999998319021,Unconstrained
0.09909999994306418,Unconstrained
0.09899999986373587,Unconstrained
0.10229999998045969,Unconstrained
0.09939999995367543,Unconstrained
0.09999999997489795,Unconstrained
0.09860000000116997,Unconstrained
0.09890000001178123,Unconstrained
0.09909999994306418,Unconstrained
0.10149999980058055,Unconstrained
0.2516000001833163,Unconstrained
0.10100000008606003,Unconstrained
0.24020000000746222,Unconstrained
0.09990000012294331,Unconstrained
0.09869999985312461,Unconstrained
0.09969999996428669,Unconstrained
0.09890000001178123,Unconstrained
0.10380000003351597,Unconstrained
0.10299999985363684,Unconstrained
0.09910000017043785,Unconstrained
0.09820000013860408,Unconstrained
0.09939999995367543,Unconstrained
0.09910000017043785,Unconstrained
0.09849999992184166,Unconstrained
0.0980999998319021,Unconstrained
0.09799999997994746,Unconstrained
0.3385999998499756,Unconstrained
0.10279999992235389,Unconstrained
0.12100000003556488,Unconstrained
0.10820000011335651,Unconstrained
0.2474000000347587,Unconstrained
0.10230000020783336,Unconstrained
0.4046999999900436,Unconstrained
0.10369999995418766,Unconstrained
