step_time_ms,method
186.32630000001882,RA-MPC
148.27100000002247,RA-MPC
134.65869999981805,RA-MPC
117.13149999991401,RA-MPC
97.28889999996682,RA-MPC
110.3205000001708,RA-MPC
96.41259999989416,RA-MPC
90.51309999995283,RA-MPC
88.79030000002786,RA-MPC
88.94409999993513,RA-MPC
83.30599999999322,RA-MPC
87.26630000001023,RA-MPC
87.49840000018594,RA-MPC
92.58490000001984,RA-MPC
101.52649999986352,RA-MPC
127.30309999983547,RA-MPC
140.28250000001208,RA-MPC
144.65100000006714,RA-MPC
133.76399999992827,RA-MPC
136.93669999997837,RA-MPC
129.59500000010848,RA-MPC
110.50070000010237,RA-MPC
121.25370000012481,RA-MPC
136.64599999992788,RA-MPC
200.33740000008038,RA-MPC
140.19389999998566,RA-MPC
126.45810000003621,RA-MPC
130.33930000005967,RA-MPC
129.61990000007972,RA-MPC
133.96609999995235,RA-MPC
126.75999999987653,RA-MPC
121.63809999992736,RA-MPC
123.29650000015135,RA-MPC
130.28299999996307,RA-MPC
139.20039999993605,RA-MPC
132.30980000003,RA-MPC
153.36569999999483,RA-MPC
86.39440000001741,RA-MPC
84.47719999981018,RA-MPC
86.42020000002049,RA-MPC
92.14369999995142,RA-MPC
83.72140000005857,RA-MPC
94.31470000004083,RA-MPC
110.40679999996428,RA-MPC
137.03579999992144,RA-MPC
94.56550000004427,RA-MPC
150.90599999984988,RA-MPC
88.76240000017788,RA-MPC
91.11779999989267,RA-MPC
94.77279999987331,RA-MPC
95.74680000014268,RA-MPC
101.88610000000153,RA-MPC
98.88019999993958,RA-MPC
111.88450000008743,RA-MPC
118.77619999995659,RA-MPC
98.53959999986728,RA-MPC
83.80999999985761,RA-MPC
87.60019999999713,RA-MPC
87.73280000013983,RA-MPC
94.01260000004186,RA-MPC
148.187900000039,RA-MPC
157.0532999999159,RA-MPC
136.2076000000343,RA-MPC
147.17419999988124,RA-MPC
139.52679999988504,RA-MPC
150.42600000015227,RA-MPC
161.62350000013248,RA-MPC
132.15889999992214,RA-MPC
131.12699999987854,RA-MPC
101.7799000001105,RA-MPC
90.1915999997982,RA-MPC
80.73570000010477,RA-MPC
79.82889999993859,RA-MPC
149.58890000002611,RA-MPC
88.26820000012958,RA-MPC
81.96270000007644,RA-MPC
91.6320999999698,RA-MPC
89.9715999998989,RA-MPC
87.09699999985787,RA-MPC
89.80359999986831,RA-MPC
131.85829999997623,RA-MPC
136.69340000001284,RA-MPC
122.65849999994316,RA-MPC
125.80830000001697,RA-MPC
180.3256999999121,RA-MPC
170.0753000000077,RA-MPC
138.5146000000077,RA-MPC
184.09420000011778,RA-MPC
143.87719999990622,RA-MPC
149.08159999981763,RA-MPC
150.64170000005106,RA-MPC
151.91879999997582,RA-MPC
139.10720000012589,RA-MPC
144.38170000016726,RA-MPC
121.648900000082,RA-MPC
108.86390000018764,RA-MPC
92.9510000000846,RA-MPC
89.74629999988792,RA-MPC
90.75890000008258,RA-MPC
85.66800000016883,RA-MPC
85.40790000006382,RA-MPC
86.67650000006688,RA-MPC
94.81989999994767,RA-MPC
89.50630000003912,RA-MPC
124.87250000003769,RA-MPC
149.75720000006731,RA-MPC
131.36999999983345,RA-MPC
117.63170000017453,RA-MPC
139.77649999992536,RA-MPC
79.91500000002816,RA-MPC
79.20280000007551,RA-MPC
82.05139999995481,RA-MPC
80.10809999996127,RA-MPC
138.96109999996042,RA-MPC
87.38629999993464,RA-MPC
98.77400000004855,RA-MPC
126.31510000005619,RA-MPC
86.07459999984712,RA-MPC
78.31409999994321,RA-MPC
81.71029999994062,RA-MPC
75.1569000001382,RA-MPC
71.83890000010251,RA-MPC
77.80219999995097,RA-MPC
75.8674000001065,RA-MPC
81.78970000017216,RA-MPC
76.42290000012508,RA-MPC
88.91380000000026,RA-MPC
73.8046999999824,RA-MPC
91.71469999978399,RA-MPC
123.19299999990108,RA-MPC
117.967599999929,RA-MPC
166.47379999994882,RA-MPC
109.96440000008079,RA-MPC
80.55429999990338,RA-MPC
83.35480000005191,RA-MPC
83.10359999995853,RA-MPC
85.07450000001882,RA-MPC
85.11829999997644,RA-MPC
92.19630000006873,RA-MPC
83.23889999996936,RA-MPC
115.05230000011579,RA-MPC
89.49319999987893,RA-MPC
80.01970000009351,RA-MPC
80.92909999982112,RA-MPC
78.14669999993384,RA-MPC
85.31540000012683,RA-MPC
114.48810000001686,RA-MPC
87.10719999999128,RA-MPC
92.41190000011557,RA-MPC
87.4484000000848,RA-MPC
88.26070000009167,RA-MPC
93.40740000016012,RA-MPC
129.07560000007834,RA-MPC
94.07659999988027,RA-MPC
178.05700000008073,RA-MPC
139.17179999998552,RA-MPC
116.03310000009515,RA-MPC
121.78279999989172,RA-MPC
