success,time_to_target,sim_duration,min_safety_margin,n_safety_violations,control_effort,mpc_infeasible_steps,n_steps,level,ic_idx,traj_id
False,,0.6,-8.699324982947727e-06,1,19.0311422709189,1,12,nominal,1,0
True,1.2000000000000004,1.2000000000000004,7.65143036134488e-06,0,41.95191100894571,0,24,nominal,2,1
True,0.6,0.6,5.592582002116371,0,16.59878209813325,0,12,nominal,4,2
True,0.49999999999999994,0.49999999999999994,1.483735041001819,0,9.452975219109689,0,10,nominal,6,3
True,1.3500000000000005,1.3500000000000005,5.1559098412669565e-06,0,47.42795251900927,0,27,nominal,7,4
True,0.5499999999999999,0.5499999999999999,2.5211827235016138,0,8.854635725775594,0,11,nominal,10,5
True,0.9000000000000002,0.9000000000000002,3.2935356835093907,0,15.626238695276067,0,18,nominal,13,6
True,0.7500000000000001,0.7500000000000001,9.84984945715015e-06,0,19.808128829410563,0,15,nominal,15,7
True,1.0000000000000002,1.0000000000000002,4.2425217705476394e-06,0,30.16542099900635,0,20,nominal,18,8
True,0.8000000000000002,0.8000000000000002,2.8012191058434275,0,19.559832893793846,0,16,nominal,19,9
True,0.39999999999999997,0.39999999999999997,2.525540701179929,0,10.918657677380308,0,8,nominal,21,10
True,0.7500000000000001,0.7500000000000001,1.064364859562402e-05,0,11.504402856820734,0,15,nominal,22,11
True,0.9000000000000002,0.9000000000000002,8.041092886983673e-06,0,23.691944703738038,0,18,nominal,23,12
True,1.2000000000000004,1.2000000000000004,4.5200065854179764e-06,0,29.188244718472056,0,24,nominal,24,13
True,0.5499999999999999,0.5499999999999999,4.430663731677084,0,9.076664715523119,0,11,nominal,26,14
True,0.6,0.6,2.798480982029361,0,13.368073241618003,0,12,nominal,29,15
True,1.3500000000000005,1.3500000000000005,5.275131251390897e-06,0,44.858241596827845,0,27,nominal,30,16
True,0.5499999999999999,0.5499999999999999,5.160606553887988,0,12.172201424957803,0,11,nominal,32,17
True,0.6,0.6,8.697704682276449,0,12.415600429455878,0,12,nominal,37,18
True,1.3500000000000005,1.3500000000000005,7.64749896619628e-06,0,46.14626350477917,0,27,nominal,38,19
True,0.2,0.2,9.194602141979937,0,5.135041688061929,0,4,nominal,42,20
True,0.7000000000000001,0.7000000000000001,4.064460527233061e-06,0,9.928612511214451,0,14,nominal,44,21
True,1.1000000000000003,1.1000000000000003,5.008497631045541e-06,0,27.305759057897518,0,22,nominal,47,22
True,1.1000000000000003,1.1000000000000003,1.8424183302016808e-06,0,24.542666653147773,0,22,nominal,48,23
True,1.3500000000000005,1.3500000000000005,5.358338443163241e-06,0,45.96024414781651,0,27,nominal,53,24
True,1.0500000000000003,1.0500000000000003,5.440522475038251e-06,0,23.32364192327279,0,21,nominal,54,25
False,,0.39999999999999997,-6.9253990050951475e-06,1,12.993596112906031,1,8,nominal,55,26
True,0.49999999999999994,0.49999999999999994,9.940917249919673,0,13.322751046002681,0,10,nominal,56,27
True,1.0500000000000003,1.0500000000000003,1.2753220056806528e-06,0,31.320286062800832,0,21,nominal,60,28
True,1.0500000000000003,1.0500000000000003,0.0005220364899908221,0,23.121134706062197,0,21,nominal,61,29
True,0.7500000000000001,0.7500000000000001,2.914931228640692,0,13.312997041713489,0,15,nominal,66,30
True,1.1000000000000003,1.1000000000000003,1.2219039168553622e-06,0,27.446548929855897,0,22,nominal,67,31
True,1.4000000000000006,1.4000000000000006,-4.203408594135234e-06,1,40.150744752051615,0,28,nominal,69,32
True,1.2000000000000004,1.2000000000000004,3.7362693945640806e-06,0,29.19799211187902,0,24,nominal,74,33
True,0.3,0.3,4.681292662378758,0,6.584651019868741,0,6,nominal,77,34
True,1.2500000000000004,1.2500000000000004,3.2662905863915333e-06,0,34.32900705577067,0,25,nominal,80,35
True,1.0000000000000002,1.0000000000000002,4.0698127434867785e-06,0,24.989202161244027,0,20,nominal,81,36
True,0.65,0.65,4.464665868777059,0,11.208884353901949,0,13,nominal,83,37
True,0.8000000000000002,0.8000000000000002,4.055875048606608e-05,0,16.13168249827434,0,16,nominal,84,38
True,0.8000000000000002,0.8000000000000002,2.673384005496052,0,15.31352898484575,0,16,nominal,90,39
True,0.65,0.65,2.776283920842928,0,13.73656506271117,0,13,nominal,98,40
True,0.15000000000000002,0.15000000000000002,6.39708809158481,0,4.526224288615669,0,3,nominal,99,41
True,1.0500000000000003,1.0500000000000003,4.260593300006912e-06,0,25.632727546029386,0,21,nominal,101,42
