success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id
False,INFEASIBLE_STEP1,,0.0,0.0,8.966231633666803,1,0,2263.9498000062304,2263.9498000062304,0.025,50,1.25,Vanilla MPC,0
True,REACHED,1.1999999999999997,1.1999999999999997,41.58713995808536,3.0202270081746942e-06,0,48,372.4422458344634,17877.227800054243,0.025,50,1.25,Vanilla MPC,1
True,REACHED,0.5750000000000002,0.5750000000000002,16.489078825965876,5.592582002116371,0,23,429.2456782625421,9872.650600038469,0.025,50,1.25,Vanilla MPC,2
True,REACHED,0.5000000000000001,0.5000000000000001,9.432608188530864,1.4845836525164675,0,20,412.9441900004167,8258.883800008334,0.025,50,1.25,Vanilla MPC,3
True,REACHED,1.3499999999999992,1.3499999999999992,47.857940026152,1.2863586704249711e-06,0,54,352.8380185194288,19053.253000049153,0.025,50,1.25,Vanilla MPC,4
True,REACHED,0.5250000000000001,0.5250000000000001,8.80829174724406,2.4800921162190597,0,21,403.3750285702159,8470.875599974534,0.025,50,1.25,Vanilla MPC,5
False,INFEASIBLE_STEP1,,0.0,0.0,6.9059108435215935,1,0,3644.991499997559,3644.991499997559,0.025,50,1.25,Vanilla MPC,6
True,REACHED,0.8750000000000004,0.8750000000000004,15.363237009824836,3.2941901561611115,0,35,340.69976285515753,11924.491699930513,0.025,50,1.25,Vanilla MPC,7
True,REACHED,0.7500000000000003,0.7500000000000003,19.808137594477436,1.1117249883587177e-05,0,30,346.6707933335177,10400.123800005531,0.025,50,1.25,Vanilla MPC,8
True,REACHED,1.0000000000000004,1.0000000000000004,29.765003504891745,7.200765922545291e-07,0,40,324.9223449998681,12996.893799994723,0.025,50,1.25,Vanilla MPC,9
True,REACHED,0.8000000000000004,0.8000000000000004,19.436847389056894,2.823415970844352,0,32,296.7947343763626,9497.431500043604,0.025,50,1.25,Vanilla MPC,10
True,REACHED,0.4000000000000001,0.4000000000000001,10.904283340208014,2.4765178165664543,0,16,343.1744625004285,5490.791400006856,0.025,50,1.25,Vanilla MPC,11
True,REACHED,0.7750000000000004,0.7750000000000004,11.760217612061302,1.125560497993815e-05,0,31,271.60639677388264,8419.798299990362,0.025,50,1.25,Vanilla MPC,12
True,REACHED,0.8750000000000004,0.8750000000000004,23.337996841944385,1.8659449391173777e-06,0,35,287.30167142888865,10055.558500011102,0.025,50,1.25,Vanilla MPC,13
True,REACHED,1.1749999999999998,1.1749999999999998,28.507966559476948,3.2009588078949633e-06,0,47,346.97657233962366,16307.89889996231,0.025,50,1.25,Vanilla MPC,14
True,REACHED,0.5500000000000002,0.5500000000000002,9.026034890877625,4.38246409934449,0,22,343.4696863650143,7556.333100030315,0.025,50,1.25,Vanilla MPC,15
True,REACHED,0.5750000000000002,0.5750000000000002,13.266365936959875,2.8176861087143816,0,23,451.34120434775707,10380.847699998412,0.025,50,1.25,Vanilla MPC,16
True,REACHED,1.3249999999999993,1.3249999999999993,43.9605107872793,2.7750445977842564e-06,0,53,368.52889622474873,19532.03149991168,0.025,50,1.25,Vanilla MPC,17
True,REACHED,0.5250000000000001,0.5250000000000001,12.064772013376661,5.183100721717778,0,21,366.9931047611282,7706.855199983693,0.025,50,1.25,Vanilla MPC,18
False,INFEASIBLE_STEP1,,0.0,0.0,0.8743130714584793,1,0,1587.4763999891002,1587.4763999891002,0.025,50,1.25,Vanilla MPC,19
True,REACHED,0.6000000000000002,0.6000000000000002,12.432230048752814,8.697704682276449,0,24,391.2842083336727,9390.821000008145,0.025,50,1.25,Vanilla MPC,20
True,REACHED,1.3499999999999992,1.3499999999999992,46.16622641519632,2.0010297204146885e-06,0,54,384.17667777927517,20745.540600080858,0.025,50,1.25,Vanilla MPC,21
True,REACHED,0.19999999999999998,0.19999999999999998,5.095779621734927,9.194602141979937,0,8,304.015662504753,2432.125300038024,0.025,50,1.25,Vanilla MPC,22
False,INFEASIBLE_STEP1,,0.0,0.0,7.2691005045984785,1,0,2017.0450000005076,2017.0450000005076,0.025,50,1.25,Vanilla MPC,23
True,REACHED,0.6750000000000003,0.6750000000000003,9.719642584300514,7.611779544002868e-06,0,27,354.4954407391035,9571.376899955794,0.025,50,1.25,Vanilla MPC,24
True,REACHED,1.1,1.1,27.480047861544797,2.5728374750443323e-06,0,44,352.3661772725807,15504.111799993552,0.025,50,1.25,Vanilla MPC,25
True,REACHED,1.2999999999999994,1.2999999999999994,44.13978091286622,2.5242151622968343e-06,0,52,392.9566846152459,20433.747599992785,0.025,50,1.25,Vanilla MPC,26
False,INFEASIBLE_STEP1,,0.0,0.0,0.10100098789276062,1,0,785.4132000065874,785.4132000065874,0.025,50,1.25,Vanilla MPC,27
True,REACHED,1.3249999999999993,1.3249999999999993,45.35477702728883,3.536917436939965e-06,0,53,359.9952849065819,19079.75010004884,0.025,50,1.25,Vanilla MPC,28
True,REACHED,1.0500000000000003,1.0500000000000003,23.432840567321474,2.774642401972042e-06,0,42,343.30267857045067,14418.712499958929,0.025,50,1.25,Vanilla MPC,29
True,REACHED,1.2499999999999996,1.2499999999999996,37.466843896505296,1.045746992230737e-07,0,50,405.4431520018261,20272.157600091305,0.025,50,1.25,Vanilla MPC,30
True,REACHED,0.5000000000000001,0.5000000000000001,13.321452912745908,9.927616046795793,0,20,691.8302649988618,13836.605299977236,0.025,50,1.25,Vanilla MPC,31
True,REACHED,1.0500000000000003,1.0500000000000003,31.241809766189625,4.4481528659249296e-07,0,42,357.07509285601276,14997.153899952536,0.025,50,1.25,Vanilla MPC,32
True,REACHED,1.0500000000000003,1.0500000000000003,23.213456211000516,0.0002740429870579817,0,42,330.3884571418859,13876.315199959208,0.025,50,1.25,Vanilla MPC,33
False,INFEASIBLE_STEP1,,0.0,0.0,0.9699836554437354,1,0,3683.419099994353,3683.419099994353,0.025,50,1.25,Vanilla MPC,34
True,REACHED,0.7250000000000003,0.7250000000000003,13.244773549639099,2.8995458217138,0,29,303.35394482997424,8797.264400069253,0.025,50,1.25,Vanilla MPC,35
True,REACHED,1.1,1.1,27.326021351302714,5.218444556191527e-06,0,44,384.6188454557374,16923.229200052447,0.025,50,1.25,Vanilla MPC,36
True,REACHED,1.3749999999999991,1.3749999999999991,39.554170648373606,7.406824547069369e-07,0,55,343.8714090906697,18912.927499986836,0.025,50,1.25,Vanilla MPC,37
True,REACHED,1.1749999999999998,1.1749999999999998,28.41217659907702,4.41425668335994e-06,0,47,359.59062553128535,16900.75939997041,0.025,50,1.25,Vanilla MPC,38
True,REACHED,0.3,0.3,6.562410582408288,4.670533763844501,0,12,327.31542500308325,3927.785100036999,0.025,50,1.25,Vanilla MPC,39
True,REACHED,1.2249999999999996,1.2249999999999996,33.79665629581402,1.938817787066613e-06,0,49,338.702279591175,16596.411699967575,0.025,50,1.25,Vanilla MPC,40
True,REACHED,0.9750000000000005,0.9750000000000005,24.301934662125014,3.389994222595833e-06,0,39,333.4780102547181,13005.642399934004,0.025,50,1.25,Vanilla MPC,41
True,REACHED,0.6250000000000002,0.6250000000000002,11.092917037991283,4.454792059887827,0,25,338.02820799930487,8450.705199982622,0.025,50,1.25,Vanilla MPC,42
True,REACHED,0.8000000000000004,0.8000000000000004,16.057483920147703,9.479115229204004e-05,0,32,304.44638750032027,9742.284400010249,0.025,50,1.25,Vanilla MPC,43
True,REACHED,0.7750000000000004,0.7750000000000004,15.085457398412279,2.6705788506670065,0,31,355.7138580649588,11027.129600013723,0.025,50,1.25,Vanilla MPC,44
True,REACHED,0.6250000000000002,0.6250000000000002,13.599395773694892,2.7654336611381005,0,25,358.1153599981917,8952.883999954793,0.025,50,1.25,Vanilla MPC,45
True,REACHED,0.15,0.15,4.514679674575146,6.3621464635596015,0,6,300.13593333327054,1800.8155999996234,0.025,50,1.25,Vanilla MPC,46
True,REACHED,1.0500000000000003,1.0500000000000003,25.478279470400317,4.011455303781207e-06,0,42,348.64863809309014,14643.242799909785,0.025,50,1.25,Vanilla MPC,47
True,REACHED,0.7000000000000003,0.7000000000000003,18.89875278211007,3.542654469473585,0,28,326.539757143889,9143.113200028893,0.025,50,1.25,Vanilla MPC,48
True,REACHED,1.2499999999999996,1.2499999999999996,41.21724359981616,6.376755883007666e-06,0,50,301.855342000199,15092.76710000995,0.025,50,1.25,Vanilla MPC,49
True,REACHED,0.6500000000000002,0.6500000000000002,10.938361089268028,9.58986479966673,0,26,301.24790384825945,7832.445500054746,0.025,50,1.25,Vanilla MPC,50
True,REACHED,0.6500000000000002,0.6500000000000002,10.987132008489056,2.481868904963798,0,26,285.3397346161028,7418.833100018674,0.025,50,1.25,Vanilla MPC,51
True,REACHED,1.2999999999999994,1.2999999999999994,37.76367649908347,1.8889016112026976e-06,0,52,339.96137692324385,17677.99160000868,0.025,50,1.25,Vanilla MPC,52
True,REACHED,1.3249999999999993,1.3249999999999993,42.74715032604067,-7.2112245944871775e-09,0,53,304.34171886887304,16130.111100050271,0.025,50,1.25,Vanilla MPC,53
True,REACHED,1.1749999999999998,1.1749999999999998,29.103529171444006,3.1825832050886604e-06,0,47,337.82828723277373,15877.929499940365,0.025,50,1.25,Vanilla MPC,54
True,REACHED,0.9250000000000005,0.9250000000000005,19.454827150923087,2.474088504353661,0,37,292.1656594596759,10810.129400008009,0.025,50,1.25,Vanilla MPC,55
True,REACHED,1.2999999999999994,1.2999999999999994,43.700107116026984,2.112155802290922e-06,0,52,328.15861153945804,17064.247800051817,0.025,50,1.25,Vanilla MPC,56
True,REACHED,1.15,1.15,28.940750477013875,2.640033021974951e-06,0,46,333.4193717395386,15337.291100018774,0.025,50,1.25,Vanilla MPC,57
True,REACHED,1.3249999999999993,1.3249999999999993,46.28559151304424,1.0661541335636531e-05,0,53,350.29555471610706,18565.664399953675,0.025,50,1.25,Vanilla MPC,58
True,REACHED,1.0000000000000004,1.0000000000000004,32.06496360101934,2.2772412023653317,0,40,292.0720499998424,11682.881999993697,0.025,50,1.25,Vanilla MPC,59
True,REACHED,0.6000000000000002,0.6000000000000002,14.553205143932827,3.629293217704741,0,24,325.37659166700905,7809.038200008217,0.025,50,1.25,Vanilla MPC,60
True,REACHED,1.2249999999999996,1.2249999999999996,32.468285729098774,5.212290553126843e-06,0,49,378.19627142892625,18531.617300017388,0.025,50,1.25,Vanilla MPC,61
True,REACHED,1.2999999999999994,1.2999999999999994,43.67365048734866,8.883037447961937e-08,0,52,329.1582173061705,17116.227299920865,0.025,50,1.25,Vanilla MPC,62
False,INFEASIBLE_STEP1,,0.0,0.0,2.699796154485192,1,0,1463.1985000014538,1463.1985000014538,0.025,50,1.25,Vanilla MPC,63
True,REACHED,0.6500000000000002,0.6500000000000002,16.646067197750654,1.3359502371584402,0,26,430.12155000010705,11183.160300002783,0.025,50,1.25,Vanilla MPC,64
True,REACHED,1.3749999999999991,1.3749999999999991,48.27538223458924,2.896761010558189e-06,0,55,333.00714181810196,18315.392799995607,0.025,50,1.25,Vanilla MPC,65
True,REACHED,0.8500000000000004,0.8500000000000004,22.598376050130394,0.5615550405915128,0,34,288.59899411712405,9812.365799982217,0.025,50,1.25,Vanilla MPC,66
True,REACHED,1.3499999999999992,1.3499999999999992,45.630605010495124,8.999649401842851e-07,0,54,353.2402111126834,19074.971400084905,0.025,50,1.25,Vanilla MPC,67
False,INFEASIBLE_STEP1,,0.0,0.0,3.791573024661823,1,0,1879.6277999936137,1879.6277999936137,0.025,50,1.25,Vanilla MPC,68
True,REACHED,0.6750000000000003,0.6750000000000003,15.88968270236476,3.549362557679649e-06,0,27,342.221633332816,9239.984099986032,0.025,50,1.25,Vanilla MPC,69
True,REACHED,0.7750000000000004,0.7750000000000004,12.57652765454827,2.632577243571596e-06,0,31,248.30780645190256,7697.54200000898,0.025,50,1.25,Vanilla MPC,70
True,REACHED,1.3249999999999993,1.3249999999999993,36.210519284598156,7.672808303014267e-07,0,53,328.1909169811527,17394.118600001093,0.025,50,1.25,Vanilla MPC,71
True,REACHED,0.9000000000000005,0.9000000000000005,24.415693138837376,3.5077195419537467e-07,0,36,263.53930555463495,9487.414999966859,0.025,50,1.25,Vanilla MPC,72
True,REACHED,0.3,0.3,5.074988709182921,1.5895489054684828,0,12,270.3506833337694,3244.2082000052324,0.025,50,1.25,Vanilla MPC,73
False,INFEASIBLE_STEP1,,0.0,0.0,4.344789744581988,1,0,1561.5742999943905,1561.5742999943905,0.025,50,1.25,Vanilla MPC,74
False,INFEASIBLE_STEP1,,0.0,0.0,6.522670699606722,1,0,2191.2697999941884,2191.2697999941884,0.025,50,1.25,Vanilla MPC,75
